Date,pm2.5 (µg/m³),pm10 (µg/m³),Temperature (°C),Humidity (%),Wind_Speed (km/h),AQI,SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),NO2 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³)
2020-01-01,45.61268464678764,54.596987166412326,15.01883227984938,56.781212717309714,14,87.15863695103965,10.843611769555432,0.6507705585054546,22.477740178623012,18.511463370248485,50.24842471879304,90.15769631628477
2020-01-02,29.18830173481653,55.404335261325535,17.05742949826246,61.71262831442371,11,83.62799262901454,11.353105509301939,0.7007358580785774,22.715527947775897,18.016749747677885,45.92667764453492,90.91680361257676
2020-01-03,37.90184991258288,45.60962367015904,34.66916051107982,73.2544347858095,8,39.88186159354479,9.223753609923676,0.7571778283539898,20.175980203161174,17.154310200844407,51.53942072788834,84.38111971742221
2020-01-04,32.087724351797746,49.27966975629166,20.01407612627768,61.43385498280028,5,79.94916715248007,12.774456307687506,0.697571456764774,16.774998351721035,17.232236854723308,48.07878565215585,97.0871842217391
2020-01-05,40.484686562531735,58.241495617436144,26.56027412976052,63.34674602502646,10,38.531892907978765,12.239581416285747,0.8344103426713012,20.36076740067315,21.96709514505947,36.19940708153444,86.48041962915269
2020-01-06,32.38963582883709,47.45273897206788,29.709833900782957,67.5512121253907,17,56.44022007150474,9.815559599300267,0.5974776295568274,19.933688285765427,19.79267623996983,37.43329938193682,92.48851994944496
2020-01-07,34.56779045435378,40.32414832555692,19.47870843483848,57.68211462721112,8,50.65883613626651,9.98516208134209,0.7033602329895247,23.287642715696368,19.18490882294527,41.639536183370666,100.11170378773872
2020-01-08,21.406850458757088,26.177917993313702,24.06698977894783,43.385171806809225,6,45.15768318811868,11.626819897678875,0.5229640027228468,16.717147686637432,18.403000709450325,39.1604724528958,92.7019413621552
2020-01-09,48.21442609759789,42.92876590990053,23.84653246343601,70.50286061101033,15,62.21474842735893,11.602449679004524,0.6860136148383468,18.081152235044016,19.478206107192264,44.920294082497634,90.16415217381606
2020-01-10,31.73208048463552,47.49256148578411,27.445689255954065,61.07515534716725,14,30.470986703384497,8.447774739284261,0.8354548557980743,18.732448642216823,19.414681522950406,41.983256433489245,92.50008980903843
2020-01-11,28.604680082560627,28.75825938486474,15.163173183935887,70.90742926509608,7,77.66224047993994,11.698790102182834,0.6479153377969876,16.798706147592174,20.119120497866678,44.84662137020361,81.10408608383831
2020-01-12,49.62891626669166,29.023885853047812,18.830280453634288,56.6973817168341,5,54.437539274588055,9.321557271550668,0.6605558566524569,17.507456935713623,19.041812077737994,40.652226411801266,93.63129426213395
2020-01-13,37.79144475046867,39.29893486407702,25.37138863837816,61.43155032029362,13,42.3601669722381,10.422753251570368,0.7764580979909481,18.4712529842719,16.853554917113506,37.657484122864595,115.4863523954921
